created_at,one_minutes,sent_score,sent_label,sadness,joy,fear,disgust,anger,count
6/23/2020 15:36,7,-0.760087,negative,0.749771,0.00953,0.408924,0.009189,0.063351,1
6/23/2020 15:36,7,0,neutral,0.244198,0.06621,0.108533,0.095564,0.121623,1
6/23/2020 15:36,7,-0.548808,negative,0.295034,0.035583,0.302483,0.075938,0.1084,1
6/23/2020 15:37,7,-0.68801,negative,0.598166,0.073044,0.359169,0.02471,0.039945,1
6/23/2020 15:37,7,0.74598,positive,0.13405,0.220958,0.250599,0.1283,0.062032,1
6/23/2020 15:37,7,0,neutral,0.126961,0.093557,0.105608,0.07823,0.078804,1
6/23/2020 15:37,7,0,neutral,0.061756,0.443526,0.034579,0.056926,0.098175,1
6/23/2020 15:37,7,-0.942813,negative,0.781988,0.015258,0.307229,0.029445,0.029217,1
6/23/2020 15:37,7,0,neutral,0.088878,0.571129,0.077857,0.027343,0.031231,1
6/23/2020 15:37,7,0,neutral,0.09913,0.358688,0.099764,0.086729,0.048251,1
6/23/2020 15:37,7,0,neutral,0.225092,0.087943,0.043131,0.040416,0.129638,1
6/23/2020 15:37,7,-0.988914,negative,0.432526,0.004963,0.245516,0.50467,0.176253,1
6/23/2020 15:37,7,0.510826,positive,0.311766,0.230213,0.020022,0.095312,0.048989,1
6/23/2020 15:37,7,-0.988914,negative,0.432526,0.004963,0.245516,0.50467,0.176253,1
6/23/2020 15:37,7,-0.805513,negative,0.360569,0.083847,0.059863,0.039414,0.49124,1
6/23/2020 15:37,7,-0.93539,negative,0.660906,0.014613,0.215543,0.066577,0.346433,1
6/23/2020 15:37,7,-0.802397,negative,0.151545,0.170668,0.121723,0.072945,0.08686,1
6/23/2020 15:37,7,0,neutral,0,0,0,0,0,1
6/23/2020 15:37,7,-0.948517,negative,0.49836,0.041123,0.413758,0.052726,0.093414,1
6/23/2020 15:37,7,-0.923735,negative,0.316298,0.371562,0.012546,0.391317,0.037172,1
6/23/2020 15:37,7,-0.594497,negative,0.429857,0.122524,0.16153,0.125961,0.178671,1
6/23/2020 15:37,7,-0.651558,negative,0.476379,0.004763,0.055137,0.339557,0.085829,1
6/23/2020 15:37,7,0,neutral,0,0,0,0,0,1
6/23/2020 15:37,7,-0.884216,negative,0.46241,0.139742,0.05827,0.044493,0.358735,1
6/23/2020 15:37,7,-0.490573,negative,0.001999,0.553452,0.480545,0.003393,0.003709,1
6/23/2020 15:37,7,0.971394,positive,0.000257,0.582784,0.000885,0.002437,0.004411,1
6/23/2020 15:37,7,-0.895287,negative,0.573862,0.035018,0.236443,0.094811,0.244121,1
6/23/2020 15:37,7,-0.676011,negative,0.19039,0.377492,0.137987,0.038638,0.40117,1
6/23/2020 15:37,7,-0.805513,negative,0.360569,0.083847,0.059863,0.039414,0.49124,1
6/23/2020 15:37,8,-0.594497,negative,0.429857,0.122524,0.16153,0.125961,0.178671,1
6/23/2020 15:37,8,0,neutral,0.104903,0.029748,0.140256,0.087186,0.101674,1
6/23/2020 15:37,8,-0.988914,negative,0.432526,0.004963,0.245516,0.50467,0.176253,1
6/23/2020 15:37,8,0.678085,positive,0.099515,0.862752,0.019735,0.005287,0.009025,1
6/23/2020 15:37,8,0,neutral,0.296625,0.326742,0.210165,0.059546,0.03497,1
6/23/2020 15:37,8,-0.594497,negative,0.429857,0.122524,0.16153,0.125961,0.178671,1
6/23/2020 15:37,8,-0.680343,negative,0.073541,0.590337,0.077278,0.016448,0.184033,1
6/23/2020 15:37,8,0.497521,positive,0.249194,0.132826,0.306148,0.064537,0.355689,1
6/23/2020 15:37,8,0.319284,positive,0.054903,0.609059,0.040401,0.035422,0.081403,1
6/23/2020 15:37,8,-0.805513,negative,0.360569,0.083847,0.059863,0.039414,0.49124,1
6/23/2020 15:37,8,-0.805513,negative,0.360569,0.083847,0.059863,0.039414,0.49124,1
6/23/2020 15:37,8,-0.594497,negative,0.429857,0.122524,0.16153,0.125961,0.178671,1
6/23/2020 15:37,8,-0.745271,negative,0.141719,0.191139,0.08519,0.078108,0.091797,1
6/23/2020 15:37,8,0.672235,positive,0.017191,0.393962,0.034384,0.007346,0.012909,1
6/23/2020 15:37,8,0,neutral,0.307896,0.049778,0.018741,0.063853,0.74066,1
6/23/2020 15:37,8,-0.594497,negative,0.429857,0.122524,0.16153,0.125961,0.178671,1
6/23/2020 15:37,8,-0.976447,negative,0.268458,0.003979,0.127471,0.70496,0.187701,1
6/23/2020 15:37,8,0,neutral,0.171702,0.043331,0.164896,0.218962,0.473377,1
6/23/2020 15:37,8,0.932193,positive,0.090012,0.500932,0.374603,0.08783,0.079057,1
6/23/2020 15:37,8,-0.727499,negative,0.135548,0.191497,0.117191,0.058414,0.082386,1
6/23/2020 15:37,8,-0.988914,negative,0.432526,0.004963,0.245516,0.50467,0.176253,1
6/23/2020 15:37,8,-0.805513,negative,0.360569,0.083847,0.059863,0.039414,0.49124,1
6/23/2020 15:37,8,0,neutral,0.49997,0.109072,0.168479,0.224966,0.125999,1
6/23/2020 15:38,8,-0.704462,negative,0.341997,0.035447,0.043041,0.016282,0.132392,1
6/23/2020 15:38,8,0.771555,positive,0.237908,0.612834,0.09053,0.022638,0.017932,1
6/23/2020 15:38,8,0,neutral,0.171702,0.043331,0.164896,0.218962,0.473377,1
6/23/2020 15:38,8,0,neutral,0.363428,0.279157,0.060249,0.110386,0.075312,1
6/23/2020 15:38,8,-0.904917,negative,0.640534,0.018349,0.338476,0.083175,0.175872,1
6/23/2020 15:38,8,-0.988914,negative,0.432526,0.004963,0.245516,0.50467,0.176253,1
6/23/2020 15:38,8,0.98708,positive,0.037676,0.923927,0.013973,0.005416,0.008341,1
6/23/2020 15:38,8,0.610219,positive,0.219453,0.626698,0.095447,0.02223,0.022197,1
6/23/2020 15:38,8,0,neutral,0.032402,0.177223,0.223944,0.148556,0.219697,1
6/23/2020 15:38,8,-0.594497,negative,0.429857,0.122524,0.16153,0.125961,0.178671,1
6/23/2020 15:38,8,0,neutral,0.171702,0.043331,0.164896,0.218962,0.473377,1
6/23/2020 15:38,8,0,neutral,0.171702,0.043331,0.164896,0.218962,0.473377,1
6/23/2020 15:38,8,-0.68801,negative,0.598166,0.073044,0.359169,0.02471,0.039945,1
6/23/2020 15:38,8,-0.988914,negative,0.432526,0.004963,0.245516,0.50467,0.176253,1
6/23/2020 15:38,8,0.50473,positive,0.129957,0.234054,0.074603,0.08639,0.112649,1
6/23/2020 15:38,8,0,neutral,0.148831,0.179551,0.091248,0.074744,0.088473,1
6/23/2020 15:38,8,-0.765407,negative,0.225786,0.114487,0.082022,0.056572,0.040303,1
6/23/2020 15:38,8,-0.594497,negative,0.429857,0.122524,0.16153,0.125961,0.178671,1
6/23/2020 15:38,8,-0.739671,negative,0.628893,0.018678,0.115296,0.30363,0.038411,1
6/23/2020 15:38,8,0,neutral,0.128734,0.038889,0.075828,0.039356,0.027758,1
6/23/2020 15:38,8,0.771555,positive,0.237908,0.612834,0.09053,0.022638,0.017932,1
6/23/2020 15:38,8,0.764941,positive,0.244299,0.579637,0.09614,0.022188,0.025418,1
6/23/2020 15:38,8,0,neutral,0.251365,0.585691,0.052687,0.028387,0.038295,1
6/23/2020 15:38,8,-0.805513,negative,0.360569,0.083847,0.059863,0.039414,0.49124,1
6/23/2020 15:38,8,0.839337,positive,0.043849,0.728453,0.040498,0.022563,0.00911,1
6/23/2020 15:38,8,0,neutral,0.375897,0.052338,0.110715,0.055554,0.186077,1
6/23/2020 15:38,9,0,neutral,0.119305,0.149718,0.058785,0.050303,0.105355,1
6/23/2020 15:38,9,-0.956883,negative,0.633916,0.007301,0.257734,0.264903,0.161808,1
6/23/2020 15:38,9,-0.805513,negative,0.360569,0.083847,0.059863,0.039414,0.49124,1
6/23/2020 15:38,9,-0.607437,negative,0.310359,0.597546,0.023174,0.017534,0.062148,1
6/23/2020 15:38,9,0.764941,positive,0.244299,0.579637,0.09614,0.022188,0.025418,1
6/23/2020 15:38,9,0,neutral,0.197281,0.386881,0.050213,0.133454,0.007975,1
6/23/2020 15:38,9,-0.955959,negative,0.623535,0.005546,0.123848,0.093057,0.484855,1
6/23/2020 15:38,9,-0.988914,negative,0.432526,0.004963,0.245516,0.50467,0.176253,1
6/23/2020 15:38,9,-0.83344,negative,0.280183,0.039642,0.538186,0.073365,0.407024,1
6/23/2020 15:38,9,-0.489004,negative,0.341934,0.280391,0.220559,0.02062,0.039651,1
6/23/2020 15:38,9,0.355284,positive,0.16569,0.626608,0.120377,0.019619,0.072667,1
6/23/2020 15:38,9,0.298049,positive,0.214872,0.450351,0.135883,0.051984,0.030288,1
6/23/2020 15:38,9,0,neutral,0.171702,0.043331,0.164896,0.218962,0.473377,1
6/23/2020 15:38,9,0,neutral,0.119305,0.149718,0.058785,0.050303,0.105355,1
6/23/2020 15:38,9,-0.683364,negative,0.148831,0.179551,0.091248,0.074744,0.088473,1
6/23/2020 15:38,9,-0.425841,negative,0.768517,0.056282,0.119845,0.033724,0.049939,1
6/23/2020 15:38,9,-0.755913,negative,0.414053,0.037649,0.149067,0.128913,0.147636,1
6/23/2020 15:38,9,-0.594497,negative,0.429857,0.122524,0.16153,0.125961,0.178671,1
6/23/2020 15:38,9,-0.905984,negative,0.080379,0.05646,0.316108,0.05724,0.76415,1
6/23/2020 15:39,9,-0.922932,negative,0.148935,0.1413,0.086551,0.140926,0.240765,1
6/23/2020 15:39,9,0,neutral,0.100173,0.097403,0.097205,0.113633,0.066304,1
6/23/2020 15:39,9,0,neutral,0.171702,0.043331,0.164896,0.218962,0.473377,1
6/23/2020 15:39,9,-0.458925,negative,0.115681,0.600053,0.055549,0.063867,0.077826,1
6/23/2020 15:39,9,-0.594497,negative,0.429857,0.122524,0.16153,0.125961,0.178671,1
6/23/2020 15:39,9,-0.916001,negative,0.190435,0.077475,0.064023,0.128635,0.317506,1
6/23/2020 15:39,9,0.45249,positive,0.11737,0.263505,0.15974,0.071442,0.278642,1
